sku,asin,fnsku,name,category,product_category,sub_category,moq,lead_time_days,cogs,units_per_box,dimensions,weight_kg,cbm,is_active,amazon_active,noon_active,country,saddl_id
001096-BF01,B0CZ57QB27,X001ZWRE7R,Raymond Home Single Sheet 144 Thread Count Luxirious Mercerised 100% Cotton Bedding Solid Pre Shrunk Percale Finish Bed Linen 2 Bedsheet and 2 Pillow Case - White (152 * 229 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0011QL-0001,B0CYXC8LBT,X001ZX02VL,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Single Bed Peach Finish 100 GSM - Color Blue & Turquise (229 x 152 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0011QL-0002,B0CYXDVRLH,X001ZWRFPD,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Single Bed Peach Finish 100 GSM - Color Red & Grey (229 x 152 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0011QL-0003,B0CYXB4F6F,X001ZWRE8B,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Single Bed Peach Finish 100 GSM - Color Yellow & Brown (229 x 152 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0011QL-0004,B0CYXBN8X7,X001ZWYR1N,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Single Bed Peach Finish 100 GSM -Peach & Green (229 x 152 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0012QL-0001,B0CYXC8Q1S,X001ZX02VB,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket King Size Bed Peach Finish 100 GSM - Blue & Turquise (229 x 254 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0012QL-0002,B0CYXCLNYL,X001ZWYR1X,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket King Size Bed Peach Finish 100 GSM - Red & Grey (229 x 254 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0012QL-0003,B0CYXBH6CQ,X001ZX02VV,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket King Size Bed Peach Finish 100 GSM - Yellow & Brown (229 x 254 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0012QL-0004,B0CYX9SSMH,X001ZWRE8V,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket King Size Bed Peach Finish 100 GSM - Peach & Green (229 x 254 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
001830-BF01,B0739VL9WH,X001RASYQR,"Raymond Home Diamond 300 TC Cotton Double Bedsheet with 2 Pillow Covers - Abstract, Multicolour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
001830-BF01New,B0CFY9FYTH,X001UXDUGF,"Raymond Home King Flat Sheet Super Soft 300 TC Pure Cotton (274x274 cm, 50x75 cm) Flat sheet & 2 PillowCases White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
001833-BF01,B0CZBRMRLW,X0021KP749,Raymond Home Bed Pillows Ultra Soft Breathable for Sleeping Hotel Bedroom for Back Stomach or Side Sleepers - White (43 * 69 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0001,B08TTD69R6,X001ZWRFOJ,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM) Marron & Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0002,B0CZCHQY2Y,X001ZWRE7H,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM) Marron & Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0003,B0CZC6DGKZ,X001ZWYR13,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM) Marron & White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
