country_code,order_nr,item_nr,order_date,sku,title_en,title_ar,brand_en,brand_ar,currency_code,price,partner_sku,item_status,return_date
ae,IAEG4M041IDYZVW38A,IAEG4M041IDYZVW38A-1,2026-04-22,Z340C8F31DCBFACBAA799Z-1,"S2C 40oz Stainless Steel Tumbler with Handle & Straw – Double Wall Vacuum Insulated Travel Mug – Leak-Resistant, BPA-Free, Fits Car Cup Holder",كوب S2C 40oz من الفولاذ المقاوم للصدأ بمقبض وقش - كوب سفر معزول بالفراغ مزدوج الجدار - مقاوم للتسرب ، خالي من مادة BPA ، يناسب حامل أكواب السيارة,S2C,اي 2 سي,AED,53, 40OZTGREEN,returned,2026-04-22
ae,IAEG4F376K5B63BGQA,IAEG4F376K5B63BGQA-1,2026-04-15,Z340C8F31DCBFACBAA799Z-1,"S2C 40oz Stainless Steel Tumbler with Handle & Straw – Double Wall Vacuum Insulated Travel Mug – Leak-Resistant, BPA-Free, Fits Car Cup Holder",كوب S2C 40oz من الفولاذ المقاوم للصدأ بمقبض وقش - كوب سفر معزول بالفراغ مزدوج الجدار - مقاوم للتسرب ، خالي من مادة BPA ، يناسب حامل أكواب السيارة,S2C,اي 2 سي,AED,53, 40OZTGREEN,returned,2026-04-16
ae,IAEG4M241DHYBTNAAA,IAEG4M241DHYBTNAAA-2,2026-04-22,ZBDD4B615B39D145D8765Z-1,"S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel, Double Wall Insulated, BPA-Free, Leak-Proof Bottle for School & Toddlers",زجاجة مياه للأطفال من S2C بغطاء ماصة - سعة 550 مل، مصنوعة من الفولاذ المقاوم للصدأ، معزولة بجدار مزدوج، خالية من مادة BPA، ومضادة للتسرب، للمدرسة والأطفال الصغار,S2C,اي 2 سي,AED,47.5,18OZWBBSPACE,returned,2026-04-23
ae,IAEG4S3358DD8Q5PCA,IAEG4S3358DD8Q5PCA-1,2026-04-28,ZBDD4B615B39D145D8765Z-1,"S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel, Double Wall Insulated, BPA-Free, Leak-Proof Bottle for School & Toddlers",زجاجة مياه للأطفال من S2C بغطاء ماصة - سعة 550 مل، مصنوعة من الفولاذ المقاوم للصدأ، معزولة بجدار مزدوج، خالية من مادة BPA، ومضادة للتسرب، للمدرسة والأطفال الصغار,S2C,اي 2 سي,AED,47.5,18OZWBBSPACE,returned,2026-04-28
ae,IAEG4F22773RPR8U5A,IAEG4F22773RPR8U5A-1,2026-04-15,ZBDD4B615B39D145D8765Z-1,"S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel, Double Wall Insulated, BPA-Free, Leak-Proof Bottle for School & Toddlers",زجاجة مياه للأطفال من S2C بغطاء ماصة - سعة 550 مل، مصنوعة من الفولاذ المقاوم للصدأ، معزولة بجدار مزدوج، خالية من مادة BPA، ومضادة للتسرب، للمدرسة والأطفال الصغار,S2C,اي 2 سي,AED,47.5,18OZWBBSPACE,returned,2026-04-16
ae,IAEG4C270W9JU7OPXA,IAEG4C270W9JU7OPXA-1,2026-04-12,ZBDD4B615B39D145D8765Z-1,"S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel, Double Wall Insulated, BPA-Free, Leak-Proof Bottle for School & Toddlers",زجاجة مياه للأطفال من S2C بغطاء ماصة - سعة 550 مل، مصنوعة من الفولاذ المقاوم للصدأ، معزولة بجدار مزدوج، خالية من مادة BPA، ومضادة للتسرب، للمدرسة والأطفال الصغار,S2C,اي 2 سي,AED,47.5,18OZWBBSPACE,returned,2026-04-16
ae,IAEG4J851OY2QYCBFA,IAEG4J851OY2QYCBFA-12,2026-04-19,ZBDD4B615B39D145D8765Z-1,"S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel, Double Wall Insulated, BPA-Free, Leak-Proof Bottle for School & Toddlers",زجاجة مياه للأطفال من S2C بغطاء ماصة - سعة 550 مل، مصنوعة من الفولاذ المقاوم للصدأ، معزولة بجدار مزدوج، خالية من مادة BPA، ومضادة للتسرب، للمدرسة والأطفال الصغار,S2C,اي 2 سي,AED,47.5,18OZWBBSPACE,returned,2026-04-19
ae,IAEG4K8325ELOC28XA,IAEG4K8325ELOC28XA-2,2026-04-20,ZBDD4B615B39D145D8765Z-1,"S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel, Double Wall Insulated, BPA-Free, Leak-Proof Bottle for School & Toddlers",زجاجة مياه للأطفال من S2C بغطاء ماصة - سعة 550 مل، مصنوعة من الفولاذ المقاوم للصدأ، معزولة بجدار مزدوج، خالية من مادة BPA، ومضادة للتسرب، للمدرسة والأطفال الصغار,S2C,اي 2 سي,AED,47.5,18OZWBBSPACE,returned,2026-04-28
ae,IAEG4E122UC1M5QEHA,IAEG4E122UC1M5QEHA-1,2026-04-14,ZE715946109D40A6F2D22Z-1,"Water Bottles 1L with Times to Drink and Straw, Motivational Water Bottle for kids Leakproof Drinking Sports Water Bottle for Fitness, Gym & Outdoor",زجاجات مياه سعة 1 لتر مع أوقات للشرب والقش، زجاجة مياه تحفيزية للأطفال مقاومة للتسرب وزجاجة مياه رياضية للشرب للياقة البدنية وصالة الألعاب الرياضية والخارجية,S2C,اي 2 سي,AED,28,1LWBGREYWHITE,returned,2026-04-14
ae,IAEG4A854NSFB10OQA,IAEG4A854NSFB10OQA-3,2026-04-10,ZE715946109D40A6F2D22Z-1,"Water Bottles 1L with Times to Drink and Straw, Motivational Water Bottle for kids Leakproof Drinking Sports Water Bottle for Fitness, Gym & Outdoor",زجاجات مياه سعة 1 لتر مع أوقات للشرب والقش، زجاجة مياه تحفيزية للأطفال مقاومة للتسرب وزجاجة مياه رياضية للشرب للياقة البدنية وصالة الألعاب الرياضية والخارجية,S2C,اي 2 سي,AED,28,1LWBGREYWHITE,returned,2026-04-10
