id,sku,name,asin,fnsku,category,product_category,sub_category,units_per_box,moq,lead_time_for_manufacturing_days,lead_time_days (min),lead_time_days (max),cogs,is_active,created_at,Dimension,Weight in KG,CBM
,COFFEEMAT6040BLACK,S2C Kitchen Mat Dish Drying Mat Anti Slip Coffee Mat Big Size 60L x 40W  3.5mm Thickness High Absorbent Mat for Kitchen Counter Kitchen Mats Drying Mat Kitchen (60*40 BLACK),B0CWLN1MKG,X001YY6KJT,A,Home and Kitchen,Kitchen Mat,40,120,7,49,59,5.79,TRUE,,51*42*26,21.67,0.06
,DE-3LDA-FHAZ,S2C Shower Filter High Pressure Shower Head with 3 Modes and Stop Button Rainfall Spa Water Saving Ionic Shower heads Spray Handheld Shower filter for Hair loss cleans water and chlorine,B09YZWL2Q9,X001K5R7NF,A,Home and Kitchen,Shower Head,50,100,7,49,59,5.4,TRUE,,53*46*46,15.50,0.11
,30OZTALPHINE,S2C Zenith TrekMate 30oz Stainless Steel Tumbler with Handle & Flip Straw | Leakproof Double-Wall Insulated | Fits Cup Holder | Keeps Drinks Hot & Cold for Hours (Alpine),B0DSFZBCQ6,X0027OZUY1,C,Tumblrs,30oz,25,100,15,57,67,10.77,TRUE,,56*55*28,12.67,0.09
,400ZBLUE,S2C 1200ML Insulated Water Bottle with 3 Lids Double Wall Leak Proof Stainless Steel Water Bottle With Straw For Gym Thermos Flask for Hot Water Bottle (BLUE),B0B6SRTFM3,X001LP505V,B,Water Bottles,40oz,25,100,15,57,67,16.15,TRUE,,53*53*40,18.00,0.11
,400ZGRAPHITE,S2C 1200ML Insulated Water Bottle with 3 Lids Double Wall Leak Proof Stainless Straw Water Bottle For Gym Thermos Flask for Hot Water Bottle (GREY),B0B6SP3859,X001LP4XVD,B,Water Bottles,40oz,25,100,15,57,67,16.15,TRUE,,53*53*40,18.00,0.11
,18OZWBFLORAL,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (PEACH),B0F18Z713B,X0029BBTK1,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,TRUE,,52*53*39,11.30,0.11
,KIDSWBGRNDINO,S2C Kids Water Bottle with Straw & Handle - 16 oz BPA Free Kids Water Bottles Spill Proof Cups for kids Easy-Clean Water Bottle With Straw Kids Water Bottle For School (GREEN DINOSAUR),B0FN4JQDLD,X002DV9CZB,A,Water Bottles,Kids Bottle - 16OZ,50,100,6,48,58,6.15,TRUE,,51*41*41,10.89,0.09
,18OZWBBUBBLEGUM,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (BUBBLE GUM),B0CM8WWYJ9,X001WDBTH5,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,FALSE,,52*53*39,11.30,0.11
,18OZWBBSPACE,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (BLACK SPACE),B0F6C8DFQQ,X002AHMR8H,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,TRUE,,52*53*39,11.30,0.11
,18OZBABYWHALE,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (blue),B0DXKBTJY1,X0028NL47N,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,TRUE,,52*53*39,11.30,0.11
