po_number,po_name,supplier,country,order_date,eta,status,po_notes,notes,sku,units_ordered,units_received
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,14OZWBPYELLOW,100,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,WB750MLBLACK,75,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,WB750MLBLUE,75,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,WB750MLPINK,75,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,CATSCRATCHPAD60x40,75,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,COFFEEMAT6040BLACK,80,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,COFFEMATGREY60x40,120,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,CRNRSHWERCADDYBLACK,64,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,KS-N831-CJVJ,120,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,LITTERMATLARGE,96,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,LITTERMATMEDIUM,128,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,V8-0T2I-663N,90,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,S2C28PC,120,
PO2026080102,KSA shipment diverted to UAE,Mixed SKUs,UAE,1/8/2026,31-08-2026,shipped,Requires RE-labeling,,WB002-A,120,
